
style,moviename,language,country,imdbscore,counter,doubancounter,actor,dateyear,director,imdbcounter,movie_head_pic,downloadlink,movie_detail_pic,aboutmovie,doubanscore,translation_name
喜剧/动作/冒险,素人特工,普通话,中国,3.5,113分钟,"10 from 7,132 users","王大陆 Darren Wang,张榕容 Sandrine Pinna,米拉·乔沃维奇 Milla Jovovich,许魏洲 Weizhou Xu,刘美彤 Meitong Liu,肖战 Sean Xiao,林雪 Suet Lam,大卫·麦金尼斯 David McInnis,鲁诺 Nuo Lu,陈国坤 Kwok-Kwan Chan",2019-07-12(中国),袁锦麟 Alan Yuen,10 from 16 users,7cd57b6dae3c7c8d52007bdf1f1bb0ed.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7483/阳光电影www.ygdy8.com.素人特工.HD.1080p.国语中字.mp4,npp0V.jpg,极限运动达人赵风（王大陆 饰），误打误撞闯入了一场国际犯罪交易，不得不跟随国际特工（米拉·乔沃维奇 饰）一起前往布达佩斯。在这里他与废柴刑警淼淼（张榕容 饰）、民间科学家丁山（许魏洲 饰）与待业医生LV（刘美彤 饰）组成一支素人特工小队。这四个特工小白和高级国际特攻米拉一起，与恐怖分子开启了一场又惊又喜的斗争。,3.8,The Rookies
动作/奇幻/冒险,龙棺古墓2亡灵之花,普通话,中国,,72分钟,,"李璐兵 Lubing Li,吴建国 Jianguo Wu,姜萌轩 Michelle Jiang,王沛禄 Peilu Wang,任学海 Xuehai Ren,耿黎明 Liming Geng,徐哲,◎标　　签　2019 | 网络电影 | 冒险 | 中国大陆 | 玄幻 | 垃圾 | 内地电影 | 香港",2019-04-16(中国),赵聪,,8a16a84d21e6222100ac429f670a4239.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8587/阳光电影www.ygdy8.com.龙棺古墓2亡灵之花.HD.720p.国语中字.mkv,n5rSc.jpg,老牛(吴建国饰)和老马(王沛禄饰)在一次行动中遇到了拥有相同目的的米三(李璐兵)和舒眉(姜萌轩饰)，在探索古墓、寻找亡灵之花的过程中，四个人开启了神秘的“幻境”，并在幻境之中直面他们内心的恐惧。,,Long Guan Tumuius
动作/惊悚,Cold Blood Legacy/Cold Blood/The Last Step,,法国/英国,5.8,91分钟,,"让·雷诺 Jean Reno ....Henry,莎拉·林德 Sarah Lind ....Melody,汤姆·霍珀 Tom Hopper,Joe Anderson ....Kappa,David Gyasi ....Malcolm,Ihor Ciszkewycz ....Davies,Fran?ois Guétary ....Brigleur,Samantha Bond ....The Lady,Kateryna Bursikova ....Waitress,Anna Butkevych ....Sarah Gold (as Anna Butkevich)",2019-05-15(法国),Frederick Petitjean,10 from 52 users,7c417d73ed07e269da8fefc779fe26b8.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8604/阳光电影www.ygdy8.com.最后一步.BD.720p.中英双字幕.mkv,3Kc2J.jpg,让·雷诺参演动作惊悚片[最后一步](The Last Step)。弗雷德里奇·佩蒂让([算命好养家])自编自导。莎拉·林德、汤姆·霍珀加盟该片。亨利(让·雷诺饰)是具有传奇色彩的杀手，他本在湖边小屋安度生活，而一个在事故中逃生的年轻女子(莎拉·林德饰)却改变他的生活。,,最后一步/冷血遗产
喜剧,恭喜八婆,粤语/国语,中国香港,5.4,90分钟,10 from 1948 users,"陈逸宁 Yat Ning Chan,陈静 Dada Chan,梁咏琪 Gigi Leung,林兆霞 June Lam,徐天佑 Tien You Chui,陈奂仁 Hanjin Tan,林雪 Suet Lam,丁可欣 Yanki Din,谢贤 Yin Tse,谷祖琳 Jolane Koo",2019-01-31(中国香港),彭浩翔 Ho-Cheung Pang,10 from 91 users,29b48349b05b6259fddafee012ebaa73.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8583/阳光电影www.ygdy8.com.恭喜八婆.BD.720p.国粤双语中字.mkv,nlV48.jpg,手机聊天群组「八婆」是由六个女生及两个男生组成，他们曾经一度很亲密，但因為当中的督察 May 发现自己男友和闺密陈逸寧有一腿；网络红人大波莲又将眾人的感情秘密写成书发表，种种原因，让这个群体的人愈分愈散，慢慢不再在群组中发言，最后让这个群组在手机中愈沉愈底。,5.0,Missbehavior
剧情/喜剧/悬疑,Intimate Strangers,韩语,韩国,6.8,115分钟,10 from 10929 users,"柳海真 Hye-jin Yu,赵震雄 Cho Jin-woong,李瑞镇 Seo-jin Lee,廉晶雅 Jung-ah Yum,金智秀 Ji-su Kim,宋昰昀 Ha-yoon Song,尹敬浩 Kyung-ho Yoon,智友 Ji Woo,◎标　　签　韩国 | 翻拍 | 人性 | 完美陌生人 | 剧情 | 黑色幽默 | 2018 | 悬疑",2018-10-31(韩国),李宰圭 Jae-kyu Lee,10 from 421 users,2d4fa18f68a7e4db10cf3999618ede7a.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7464/阳光电影www.ygdy8.com.完美的他人.BD.720p.韩语中字.mkv,EPF0W.jpg,本片翻拍自2016年在意大利上映的同名电影，讲述4对多年朋友夫妇聚会吃晚饭，为了确认彼此到底有多了解，决定玩游戏相互说出秘密和心事，由此关系发生波动。,7.4,完美的他人/亲密陌生人(台)/完美陌生人韩国版
剧情/惊悚,Innocent Witness,韩语,韩国,7.1,129分钟,10 from 7068 users,"郑雨盛 Woo-sung Jung,金香起 Hyang-ki Kim,李圭亨 Kyu-hyung Lee,廉惠兰 Yum Hye-ran,张荣男 Young-nam Jang,郑元中 Won-jung Jeong,金正洙 Jong-soo Kim,金学善 Hak-seon Kim,宋允儿 Yun-ah Song,◎标　　签　韩国 | 犯罪 | 人性 | 温情 | 悬疑 | 剧情 | 2019 | 法律",2019-02-13(韩国),李翰 Han Lee,10 from 211 users,1c27fa879b1b60c7e78010cc36c025c2.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8573/阳光电影www.ygdy8.com.证人.HD.720p.韩语中字.mkv,N4SKh.jpg,讲述负责杀人案件的辩护律师顺浩和看到事件的证人智友之间的故事，智友是个自闭症患者。,7.7,证人/5时恭候的证人(港)
悬疑,Puzzle,韩语,韩国,,90分钟,,"池承炫 Ji Seung-hyeon,李世美 Lee Se-mi,姜其永 Ki-Young Kang,楊明憲 Yang Myeong-heon,英健 Young Gun,方秀衡 Bang Soo-hyung,姜多贤 Kang Da-hyun,宋東煥 Song Dong-hwan,元贤俊 Won Hyeon-joon,Park Sang-hyeok",2018-02-22(韩国),林振承 Jin-Seung Lim,,44ff661e1544ca42ba380cc2849b05e2.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7463/阳光电影www.ygdy8.com.拼图杀机.BD.720p.韩语中字.mkv,EvuCg.jpg,拥有一切的男子都俊（池承炫饰），妻子和小孩都在国外生活，也因此他的疑心病变得更重了。某日他一个人喝完酒徘徊时，遇到了一位谜样的女子世莲（李世美饰），陷入她的魅力之中的都俊也因此卷入了某起事件……,,拼图杀机
动作/犯罪,"The Gangster, The Cop, The Devil",韩语,韩国,6.9,110分钟,"10 from 9,934 users","马东锡 Tong-Seok Ma,金武烈 Moo-yeol Kim,金成圭 Seong-gyoo Kim,刘承睦 Yoo Seung-Mok,崔民哲 Min-cheol Choi,金胤成 Kim Yoon-seong,许栋元 Heo Dong-won,吴熙俊 Hee-joon Oh,杨志洙 Ji-soo Yang,金桀 Kim Kyoul",2019-05-15(韩国),李元泰 Won-tae Lee,10 from 203 users,9637413a09721eb54e8a6d40db68efb8.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:8469/阳光电影www.ygdy8.com.恶人传.BD.720p.韩语中字.mkv,EC828.jpg,电影《恶人传》讲述的是偶然间成为连锁杀人魔的目标后复活的组织老板张东秀（马东锡 饰）和为了抓住法人而疯狂展开暴力反刑警郑泰锡（金武烈 饰）之间的无法妥协，和为了抓住连锁杀人魔K而展开的故事的犯罪动作大片。,7.6,恶人传/极恶对决(台)
动画,モンスターストライク THE MOVIE ソラノカナタ,日语,日本,,,,"洼田正孝 Masataka Kubota,广濑爱丽丝 Alice Hirose,细谷佳正 Yoshimasa Hosoya,悠木碧 Aoi Yuki,山寺宏一 Kôichi Yamadera,◎标　　签　日本动画电影 | 洼田正孝 | アニメ | 2018 | 动画 | MASA | 细谷佳正 | 映画",2018-10-05(日本),锦织博 Hiroshi Nishikiori,,5645bbb560cb7fff8962d94f291ea009.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8557/阳光电影www.ygdy8.com.怪物弹珠电影版.HD.720p.日语中字.mkv,bST65.jpg,某天，彼方遭到正体不明的怪物们袭击。救了他的人是神秘的蓝发少女空。她向彼方寻求帮助，对他说“只有你能拯救世界！”。为了从企图利用黑暗之力肆意操控世界的千寿等人手里拯救世界，彼方、空、吸血鬼兄妹冬夜和夕奈，与龙马、神威、半藏等怪物一同面对赌上世界命运的战斗。,,怪物弹珠 THE MOVIE 空之彼方
剧情,北の桜守 / Sakura Guardian in the North,日语,日本,5.8,126分钟,10 from 372 users,"吉永小百合 Sayuri Yoshinaga,堺雅人 Masato Sakai,筱原凉子 Ryoko Shinohara,佐藤浩市 Kôichi Satô,阿部宽 Hiroshi Abe,高岛礼子 Reiko Takashima,中村雅俊 Masatoshi Nakamura,笑福亭鹤瓶 Tsurubei Shofukutei,岸部一德 Ittoku Kishibe,◎标　　签　日本 | 2018 | 北海道 | 剧情 | 映画 | 家庭 | 東映 | 战争",2018-03-10(日本),泷田洋二郎 Yôjirô Takita,10 from 24 users,d28e20593dea478db9f3532b4fe22f0a.jpg,ftp://ygdy8:ygdy8@yg72.dydytt.net:8373/阳光电影www.ygdy8.com.北之樱守.BD.720p.日语中字.mkv,NFzuV.jpg,1945年的桦太，江莲铁（吉永小百合）百般呵护地栽种着的樱树开花了，这是丈夫德次郎（阿部宽）从日本本土带回的种子，八月苏联入侵南桦太，铁与儿子们逃往北海道网走，寒天冻地裡过着难以温饱的穷困日子，铁始终守护着孩子并将他养育成人。时光流转，1971年，长大成人的次子修二郎（堺雅人）与妻子真理（篠原凉子）带着成功的事业从美国回到日本。久别重逢，修二郎却对于年迈而略显异样的母亲感到相当不安，此时深藏母子心中禁忌的记忆大门，即将被揭开。,6.3,北之樱守 / 北之樱守~妈妈的守护者~(台)
惊悚 / 犯罪,Idol,韩语,韩国,6.1,144分钟,10 from 411 users,"韩石圭 Suk-kyu Han,薛耿求 Kyung-gu Sol,千禹熙 Cheon Woo-Hee,赵炳奎 Byeong-gyu Jo,全镇基 Jin-gi Jeon,安多晶 Da-jung An,玄奉植 Bong-shik Hyun,刘承睦 Yoo Seung-Mok,金瑞元 Kim Seo-won,徐珠熙 Joo-hee Seo",2019-02-08(柏林电影节) / 2019-03-20(韩国),李铢真 Su-jin Lee,10 from 75 users,c4e0ea24b557ac416948f7465b75e07a.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:8474/阳光电影www.ygdy8.com.偶像.HD.720p.韩语中字.mkv,NF7Wo.jpg,李铢真([韩公主])执导新片[偶像]曝光主演的剧本阅读照。该片由韩石圭、薛耿求、千禹熙等主演。韩石圭在片中饰演有威望的议员，因儿子无法挽回的失误，使得政治人生陷入最恶略的境地。薛耿求饰演受害人的父亲，因突如其来的事故，失去了儿子。,5.7,偶像/权力杀机(台)
剧情,逆流大叔/万水千山纵横,粤语/国语,中国香港,7.1,90分钟,10 from 2085 users,"吴镇宇 Francis Ng,潘灿良 Chan-Leung Poon,黄德斌 Tak-bun Wong,胡子彤 Tony Tsz-Tung Wu,胡定欣 Nancy Wu Ting-yan,骆振伟 Thor Lok,余香凝 Jennifer Yu,庄思敏 Jacquelin Chong,岑珈其 Kaki Sham,黄天颐 Tinyee Wong",2018-08-02(中国香港) / 2019(中国),陈咏燊 Sunny Chan,10 from 195 users,938ffabdb4a300a14fe638a82aab16a9.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8554/阳光电影www.ygdy8.com.逆流大叔.BD.720p.国粤双语中字.mkv,bCuKK.jpg,男人，就是要逆流而上。阿龙(吴镇宇饰)、淑仪(潘灿良饰)、泰哥(黄德斌饰)、威廉(胡子彤饰)，四个高不成低不就、做事得过且过的宽频网络公司员工，见公司掀起了裁员风暴，为表对公司忠诚以「保饭碗」，误打误碰地加入了公司新成立的龙舟队！面对男人之苦，这班本来选择逃避的大叔们，坐到只许前进不许后退的龙舟之上，竟重拾了人生久违了的冲劲。一鼓作气的他们，不但参与了难度更高的长途龙舟大赛，更借着重新燃起的斗志，迈步去迎接自己人生里一道又一道的逆流…,7.0,Men on the Dragon
动作,We Are Legends,粤语/国语,中国香港,,108分钟,,"林耀声 Yiu-Sing Lam,马志威 Edward Ma,元秋 Qiu Yuen,葛民辉 Eric Kot,黎美言 Winkie Lai,杨柳青 Wiyona Yeung,周殷廷 Yan Ting,林曉雯,张沛乐 Charlotte Cheung,郑丽莎 Lisa Cheng",2019-03-19(中国) / 2019-03-21(香港),陈翊恒 Daniel Chan Yee-Heng,,8af031a028541a84992b3bc7ad4917b8.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:8461/阳光电影www.ygdy8.com.入铁笼.BD.720p.国粤双语中字.mkv,bJ7vr.jpg,"哥哥『招积』和弟弟『电兔』在孤儿院长大，经院工『雷Sir』领养并得到『雷师母』的帮忙，入住乡村拳馆。招积供养着弟弟到学校读书，但电兔打地下拳赚钱，被开除学籍，两兄弟因而反目。电兔成为网络红人。他极速KO对手的片段被网友封为『烂仔交王』。招积每天勤练拳并参加各大小型比赛，打出59场不败记录！招积首场MMA职业拳赛，竟然被20秒KO，及后对手陈乐风在台上更侮辱雷师母和乡村拳馆。及后，网络却疯传『烂仔交王』电兔为了哥哥挑战『万人迷』陈乐风的片段。两兄弟回想起当年在孤儿院的日子，忍不住流下泪来。哥哥说电兔有一个罕有的天赋，就是判断对手拳法的能力，让他能够轻易闪避对手拳脚。 ""Precision beats Power, Timing beats Speed"".自己却一直隐瞒着，是怕有一天弟弟会打赢自己，电兔信心倍增……",,入铁笼/格斗吧
动作 / 奇幻 / 武侠 / 古装,镇魔司：苍龙觉醒,普通话,中国,,90分钟,,"张亚奇 Yaqi Zhang,赵帅 Shuai Zhao,钟政均 Zhengjun Zhong,曹玥瑶 Yueyao Cao,夏茉 Mo Xia,何若鹤 Ruohe He",2019-06-16(中国),霍穗强 Suiqiang Huo,,47c754498a2b1334e89d63467345d77f.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:6169/阳光电影www.ygdy8.com.镇魔司：苍龙觉醒.HD.1080p.国语中字.mp4,bJQiW.jpg,影片讲述了在赵王朝元武十七年，仙师降灵打破四百年历任传统，即将迎来六百高寿。因呼声盖过当朝天子，皇帝震怒，欲将之铲除。镇魔司张谦派明、暗两部兵分量两路上玉虚山，明监负责打探消息，暗监负责刺杀仙师降灵。两部人员宿来不和，矛盾累计颇多，此番相遇必有一番龙争虎斗。,,Zhen Mo Si
喜剧,恭喜八婆,粤语/国语,中国香港,5.4,90分钟,10 from 356 users,"陈逸宁 Yat Ning Chan,陈静 Dada Chan,梁咏琪 Gigi Leung,林兆霞 June Lam,徐天佑 Tien You Chui,陈奂仁 Hanjin Tan,林雪 Suet Lam,丁可欣 Yanki Din,谢贤 Yin Tse,谷祖琳 Jolane Koo",2019-01-31(中国香港),彭浩翔 Ho-Cheung Pang,10 from 65 users,213c9e330d84e1921ddae5333862011b.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:6168/阳光电影www.ygdy8.com.恭喜八婆.HD.720p.国粤双语中字.mkv,b4Uds.jpg,手机聊天群组「八婆」是由六个女生及两个男生组成，他们曾经一度很亲密，但因為当中的督察 May 发现自己男友和闺密陈逸寧有一腿；网络红人大波莲又将眾人的感情秘密写成书发表，种种原因，让这个群体的人愈分愈散，慢慢不再在群组中发言，最后让这个群组在手机中愈沉愈底。,5.4,Missbehavior
科幻/惊悚,I Am Mother / Mother,英语,澳大利亚,6.7,114分钟(圣丹斯电影节),10 from 96 users,"克拉拉·卢嘉 Clara Rugaard,萝丝·拜恩 Rose Byrne,希拉里·斯万克 Hilary Swank,Luke Hawker,Tahlia Sturzaker,Jacob Nolan,Hazel Sandery,Maddie Lenton,Summer Lenton,◎标　　签　科幻 | netflix | 惊悚 | 电影 | 美国 | 女性 | 2019 | 澳大利亚",2019-01-25(圣丹斯电影节),Grant Sputore,"10 from 1,598 users",06627213e036c9d931c5e66a3a59ef2f.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:8455/阳光电影www.ygdy8.com.吾乃母亲.BD.720p.中英双字幕.mkv,bqMEz.jpg,"A teenage girl is raised underground by a kindly robot ""Mother"" -- designed to repopulate the earth following the extinction of humankind. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",6.4,吾乃母亲 / AI终结战(台)
喜剧,人间·喜剧/时代狂人,普通话,中国,,90分钟,10 from 7269 users,"艾伦 Allen,王智 Zhi Wang,鲁诺 Nuo Lu,任达华 Simon Yam,金士杰 Shih-Chieh King,潘斌龙 Binlong Pan,周显欣 Xianxin Zhou,九孔 Kong Jiu,董立范 Lifan Dong,史航 Hang Shi",2019-03-29(中国),孙周 Zhou Sun,,e59b450c339e860d963df81be0c1c928.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7462/阳光电影www.ygdy8.com.人间·喜剧.HD.720p.国语中字.mkv,EPIrr.jpg,平凡夫妻濮通（艾伦饰）和米粒（王智饰）因被公司拖欠工资导致交不起房租；富二代杨小伟（鲁诺饰）不被亲爹宠爱，欠下巴爷（任达华饰）一笔巨款无处偿还。被钱逼到绝路的三人相遇，索性上演了一出富二代绑架案，一路认怂的夫妻变身假绑匪，最穷富二代变身假人质……,3.5,The Human Comedy
